object_name,period_start,period_end,possible_impacts,cumulative_impact_probability,asteroid_velocity,asteroid_magnitude,asteroid_diameter_km,cumulative_palermo_scale,maximum_palermo_scale,maximum_torino_scale,eccentricity,semi_major_axis,perihelion_distance,inclination_angle_with_respect_to_x_y_ecliptic_plane,longitude_of_the_ascending_node,argument_of_perihelion,mean_anomaly,time_of_perihelion_passage,sidereal_orbital_period,mean_motion,aphelion_distance
2014 SR261,2058,2111,7,5.4e-6,15.27,26.8,0.015,-6.01,-6.08,0,0.585,1.88,0.779,0.387,183,105,21.4,2456874.635,939,0.383,2.98
2011 SM173,2058,2112,10,5.3e-5,14.25,27.8,0.009,-5.5,-5.53,0,0.652,2.49,0.866,0.526,176,237,1.76,2460193.47,1440,0.251,4.12
2012 XB112,2058,2114,18,1.3e-4,4.15,29.8,0.004,-6.35,-6.37,0,0.145,1.03,0.88,1.32,76.9,88.9,44.3,2460153.628,381,0.945,1.18
2009 BR5,2059,2078,3,2.7e-7,18,22.1,0.13,-5.08,-5.15,0,0.659,2.03,0.691,3.84,301,277,341,2454914.068,1050,0.341,3.36
2006 XZ2,2059,2102,4,3.1e-7,9.06,27.1,0.013,-7.68,-7.81,0,0.468,1.71,0.909,0.261,99.2,34.4,179,2459795.393,816,0.441,2.51
2015 SK7,2059,2107,5,7.3e-7,12.18,28.8,0.006,-8.08,-8.41,0,0.62,2.37,0.902,2.38,360,317,73.6,2459927.6,1330,0.27,3.84
2007 FP3,2059,2111,11,2.2e-6,9.65,28.4,0.007,-7.54,-7.86,0,0.404,1.41,0.843,0.237,352,120,30.2,2454128.929,614,0.586,1.98
2013 NE24,2059,2112,13,5.4e-6,10.83,27.4,0.011,-6.61,-6.93,0,0.661,2.79,0.945,0.407,321,289,5.58,2456454.116,1700,0.212,4.63
2008 FF5,2060,2060,1,5.2e-7,39.47,23.1,0.081,-4.68,-4.68,0,0.965,2.27,0.0795,2.62,15.3,19.9,12.5,2454514.214,1250,0.288,4.46
2013 NH6,2060,2060,1,2.6e-8,21.71,23.4,0.073,-6.46,-6.46,0,0.587,1.24,0.514,24.2,98.4,69.9,48.4,2456415.271,507,0.71,1.98
2012 SG58,2060,2060,1,2e-8,15.89,23.1,0.083,-6.59,-6.59,0,0.709,2.84,0.827,6.45,14.8,52.9,351,2456241.168,1750,0.205,4.86
2014 DK10,2060,2060,1,3.6e-8,11.83,27.8,0.01,-8.71,-8.71,0,0.508,1.82,0.896,11.6,153,316,333,2460268.034,898,0.401,2.75
2009 YR,2060,2087,6,8.7e-6,3.12,28,0.009,-6.74,-7.14,0,0.11,0.942,0.838,0.7,87.2,128,247,2460305.09,334,1.08,1.05
99942 Apophis (2004 MN4),2060,2105,12,8.9e-6,5.85,19.1,0.37,-2.83,-2.93,0,0.191,0.923,0.746,3.34,204,127,143,2460072.029,324,1.11,1.1
2006 SR131,2060,2113,38,3.4e-5,8.46,28,0.009,-6.18,-6.98,0,0.338,1.35,0.897,0.633,185,121,309,2460281.901,576,0.625,1.81
2010 NN,2060,2115,29,3.2e-5,7.74,28.3,0.007,-6.3,-6.67,0,0.448,1.78,0.982,2.26,282,332,208,2460566.823,868,0.415,2.58
2006 BO7,2060,2115,3,1.1e-6,9.83,29.3,0.005,-8.07,-8.26,0,0.404,1.44,0.856,0.34,294,248,64.4,2460088.128,629,0.573,2.02
2014 GN1,2061,2061,1,2.1e-5,21.23,24.6,0.041,-4.17,-4.17,0,0.749,2.65,0.665,2.96,193,80.4,56.7,2459951.856,1580,0.228,4.64
2013 UJ5,2061,2061,1,1.1e-7,10.81,28,0.009,-8.37,-8.37,0,0.595,2.32,0.939,0.327,191,162,9.15,2456560.734,1290,0.279,3.7
2015 TL21,2061,2094,3,2.5e-6,15.32,26.4,0.017,-6.21,-6.36,0,0.677,2.6,0.842,0.57,220,98.3,329,2460334.174,1540,0.235,4.37
2008 CJ,2061,2106,2,9.5e-7,8.06,27.3,0.012,-7.5,-7.5,0,0.571,2.39,1.03,2.23,132,2.54,359,2454500.476,1350,0.267,3.75
1993 HP1,2061,2112,9,1.6e-6,9.85,26.9,0.014,-6.87,-7.08,0,0.514,2,0.973,8.02,37.1,152,7.93,2449081.722,1030,0.348,3.03
2013 GW38,2061,2113,13,6.4e-6,10.26,28.5,0.007,-7.05,-7.66,0,0.546,2.01,0.912,2.3,18.1,137,254,2460507.479,1040,0.347,3.1
2009 BE,2061,2114,26,6.5e-4,11.46,26.1,0.02,-3.86,-4.15,0,0.446,1.47,0.815,0.951,126,61.8,30.7,2460144.836,652,0.552,2.13
2006 UQ216,2061,2115,7,3.3e-6,3.73,27.3,0.012,-7.02,-7.22,0,0.163,1.1,0.924,0.474,218,248,146,2460028.727,424,0.85,1.28
2007 VE8,2062,2062,1,2.2e-5,9.05,25.4,0.028,-4.92,-4.92,0,0.586,2.51,1.04,7.21,44,352,2.21,2454403.615,1450,0.248,3.97
2012 HB25,2062,2062,1,6.7e-9,8.95,24.9,0.035,-8.2,-8.2,0,0.595,2.42,0.98,1.51,288,335,359,2460205.582,1380,0.262,3.86
2010 CR5,2062,2075,3,7.6e-8,23.6,19.8,0.372,-4.25,-4.28,0,0.82,3.03,0.546,5.64,323,49.4,23.6,2455114.003,1930,0.187,5.52
2008 EX5,2062,2083,11,2.7e-5,9.92,23.8,0.059,-4.13,-4.43,0,0.391,1.36,0.828,3.38,16.2,66.2,323,2460260.39,580,0.621,1.89
2007 EE126,2062,2092,4,5.7e-8,30.8,25.6,0.025,-7.13,-7.44,0,0.903,3.62,0.35,8.54,170,249,6.48,2454130.234,2510,0.143,6.88
2011 CA7,2062,2092,7,9e-7,8.91,30.3,0.003,-8.67,-8.88,0,0.288,1.08,0.768,0.119,307,283,18.4,2460179.537,410,0.878,1.39
2010 TW149,2062,2113,42,8.6e-6,17.04,25.9,0.023,-5.53,-5.97,0,0.617,1.9,0.726,4.57,196,103,20.4,2455430.429,953,0.378,3.06
2016 CG18,2062,2116,53,1.4e-4,4.25,28.5,0.007,-5.87,-6.13,0,0.0921,0.983,0.892,5.7,317,277,201,2460357.202,356,1.01,1.07
2014 SR223,2063,2063,1,2.2e-6,15.23,26.8,0.015,-6.39,-6.39,0,0.658,2.57,0.876,1.71,186,123,74,2459891.877,1500,0.24,4.26
2008 EA9,2063,2084,9,2.6e-5,1.24,27.7,0.01,-6.24,-6.8,0,0.074,1.05,0.971,0.441,124,344,155,2460031.753,392,0.917,1.13
2012 BG96,2063,2098,9,2.4e-9,8.68,18.9,0.57,-5.9,-6.69,0,0.0738,1.9,1.76,19.1,335,65,232,2460538.582,954,0.377,2.04
2016 JA,2064,2103,10,4.5e-7,7.6,27.5,0.011,-7.8,-8.37,0,0.268,1.01,0.741,0.0465,20.1,91.2,157,2460037.504,373,0.966,1.29
2002 GM5,2064,2113,2,1.3e-7,20.38,21.4,0.179,-4.91,-4.92,0,0.695,2.12,0.647,7.3,14,274,343,2452430.403,1130,0.319,3.6
2012 XK134,2065,2065,1,1.1e-7,4.95,26.4,0.018,-7.84,-7.84,0,0.215,1.19,0.937,0.624,117,265,128,2460031.453,476,0.756,1.45
2010 XU,2065,2065,1,1.5e-10,6.22,25.4,0.029,-10.17,-10.2,0,0.294,1.33,0.939,0.706,324,49.3,146,2459972.855,561,0.642,1.72
2007 RC20,2065,2106,2,3.7e-9,5.12,26.7,0.016,-9.66,-9.7,0,0.198,0.954,0.765,2.87,165,309,258,2454455.107,341,1.06,1.14
2011 DS,2065,2108,13,1.4e-5,6.54,27,0.013,-6.11,-6.36,0,0.229,1.03,0.798,0.277,346,71.4,40.9,2460156.821,385,0.936,1.27
2015 RN35,2065,2111,9,1.2e-5,5.72,23,0.085,-4.24,-4.43,0,0.347,1.47,0.962,0.234,148,270,161,2459907.689,654,0.55,1.99
2008 WO2,2065,2111,10,5.3e-5,6.11,29.8,0.004,-6.93,-7.28,0,0.188,1.02,0.832,2.01,238,85.8,170,2460021.918,379,0.95,1.22
2007 UT3,2065,2115,5,2.8e-7,9.05,25.7,0.024,-7.08,-7.4,0,0.4,0.772,0.463,0.631,161,21.1,232,2454482.427,248,1.45,1.08
2009 ST171,2066,2066,1,1.1e-6,9.83,26.8,0.015,-6.92,-6.92,0,0.608,2.58,1.01,3.74,187,206,355,2455125.784,1520,0.237,4.16
2012 XL55,2066,2066,1,4.9e-8,19.09,27,0.013,-8.08,-8.08,0,0.644,1.72,0.61,2.38,77.2,90.1,338,2456320.639,821,0.439,2.82
2014 KC45,2066,2102,4,1.5e-6,8.92,29.4,0.004,-8.25,-8.28,0,0.395,1.52,0.919,0.04,110,185,328,2460260.853,683,0.527,2.12
2010 TN55,2066,2111,21,2.8e-6,25.37,27,0.014,-6.33,-6.88,0,0.786,2.29,0.49,0.257,36.1,242,13.6,2455435.625,1270,0.284,4.09
2015 FU344,2066,2111,13,1.4e-5,9.92,31,0.002,-7.79,-7.94,0,0.491,1.75,0.892,0.896,176,312,15.4,2457062.303,847,0.425,2.61
2010 UY7,2066,2115,45,2.3e-4,3.87,28.5,0.007,-5.75,-6.19,0,0.15,0.897,0.762,0.457,40.1,210,189,2460347.693,310,1.16,1.03
2012 PB20,2066,2115,8,2.7e-6,4.03,24.9,0.035,-6.02,-6.36,0,0.0948,1.05,0.954,5.84,143,50,207,2460368.607,395,0.911,1.15
2016 SR2,2066,2116,17,5.7e-5,5.95,26.3,0.019,-5.27,-5.48,0,0.205,1.06,0.843,4.07,14,85.3,60.2,2460133.759,399,0.901,1.28
2015 XP,2067,2067,1,1.2e-6,8.23,25.8,0.024,-6.43,-6.43,0,0.493,1.88,0.955,4.87,71.6,24.9,355,2460214.883,944,0.381,2.81
2011 QF48,2067,2067,2,2e-7,19.93,25.3,0.03,-6.6,-6.87,0,0.636,2.13,0.774,21.5,154,113,330,2460293.449,1130,0.318,3.48
2008 BN16,2067,2083,3,4e-8,18.98,25.9,0.023,-7.7,-7.87,0,0.687,2.21,0.692,5.51,308,98.4,15.8,2454443.915,1200,0.3,3.73
2009 EJ1,2067,2086,3,1e-7,10.63,28.2,0.008,-8.64,-8.78,0,0.475,1.6,0.84,0.0253,313,148,22,2454848.36,739,0.487,2.36
2007 CC27,2067,2105,40,8e-5,10.88,26.9,0.014,-5.15,-5.65,0,0.493,1.69,0.856,2.12,324,125,19.8,2454104.443,801,0.449,2.52
2013 BR27,2067,2106,42,3e-5,10.95,27.7,0.01,-6.02,-6.44,0,0.46,1.55,0.838,2.57,297,121,28,2456266.634,706,0.51,2.27
2009 WP6,2067,2114,63,3.8e-5,25.34,26.8,0.015,-5.01,-5.3,0,0.741,1.13,0.292,2.78,54.5,228,41.2,2455104.228,439,0.82,1.97
2009 TH8,2068,2100,4,1.2e-5,13.03,24.9,0.036,-5.04,-5.13,0,0.592,2.05,0.835,4.91,30.7,50.2,258,2460501.933,1070,0.337,3.25
2006 HF6,2068,2110,22,8.9e-6,16.4,24.5,0.043,-4.73,-5.27,0,0.55,1.41,0.633,6.59,29.6,86.3,38.7,2453790.058,609,0.591,2.18
2008 TS10,2068,2114,19,2.8e-5,3.18,28.8,0.006,-6.77,-7.61,0,0.203,1.26,1,1.47,5.64,345,17.9,2454724.854,516,0.698,1.51
2012 DJ54,2068,2115,32,2e-4,5.43,28.5,0.007,-5.71,-6,0,0.23,1.18,0.905,1.97,337,120,58.1,2460125.334,466,0.773,1.45
2016 FE15,2068,2116,3,6.2e-7,12.21,28.8,0.006,-8.11,-8.24,0,0.466,1.44,0.769,0.454,17.5,96.8,144,2459948.739,631,0.571,2.11
2016 DK2,2069,2069,1,7.5e-7,17.57,29.1,0.005,-7.93,-7.93,0,0.714,2.41,0.689,0.884,159,283,11.8,2457401.934,1360,0.264,4.12
2005 XA8,2069,2086,21,9.1e-5,12.08,25.6,0.025,-4.43,-4.54,0,0.437,1.42,0.799,5.34,254,111,215,2460448.69,617,0.583,2.04
2015 VP64,2069,2105,5,3.1e-6,20.96,28.3,0.007,-6.99,-7,0,0.699,2.09,0.63,0.715,44.1,275,15.7,2457286.407,1100,0.326,3.55
2012 TP20,2069,2107,4,5.3e-7,7.31,27.8,0.009,-7.85,-8.07,0,0.326,1.39,0.934,0.657,208,118,274,2460343.653,597,0.603,1.84
2000 SG344,2069,2113,104,0.0022,1.36,24.8,0.037,-2.93,-3.26,0,0.0668,0.977,0.912,0.113,192,276,180,2460024.382,353,1.02,1.04
2012 AP10,2069,2114,81,1.1e-4,3.57,26.4,0.018,-5.01,-5.7,0,0.138,0.889,0.766,2.73,102,212,118,2460100.312,306,1.18,1.01
2014 JR24,2069,2115,38,0.0012,3.72,29.3,0.005,-5.26,-5.27,0,0.118,1.07,0.94,0.93,48.9,246,120,2460066.131,402,0.895,1.19
2010 UK,2069,2115,20,2.3e-5,6.11,26.9,0.014,-5.81,-6.02,0,0.218,0.866,0.677,4.93,203,36.6,129,2460095.039,295,1.22,1.06
2009 WW7,2069,2115,30,2.2e-5,8.2,28.9,0.006,-6.81,-6.94,0,0.262,1.09,0.805,2.53,57.1,274,102,2460082.128,416,0.865,1.38
2011 EB,2070,2077,3,5.3e-5,10.31,26.9,0.014,-5.33,-5.37,0,0.598,2.29,0.923,2.51,160,323,225,2460676.942,1270,0.284,3.66
2012 UU158,2070,2078,2,1.9e-6,12.28,26.9,0.014,-6.66,-6.68,0,0.374,1.1,0.689,5.98,26.7,262,216,2460369.262,421,0.855,1.51
2014 HT197,2070,2090,3,1.1e-7,17.18,28.5,0.007,-8.53,-8.81,0,0.607,2.23,0.878,2.07,39.6,235,347,2456817.95,1220,0.295,3.59
2013 BL18,2070,2092,5,2.4e-5,14.19,26,0.022,-5.16,-5.27,0,0.592,1.99,0.813,7.52,295,121,16.1,2456267.479,1030,0.35,3.17
2012 TV,2070,2096,12,2e-6,16.66,25.2,0.031,-5.72,-6.1,0,0.572,1.5,0.644,5.54,193,270,309,2460296.12,673,0.535,2.36
2000 SZ162,2070,2096,2,3.8e-7,4.17,27.1,0.013,-7.7,-7.75,0,0.168,0.929,0.773,0.889,12.5,133,94.3,2460114.847,327,1.1,1.08
2009 FQ32,2070,2104,5,5.2e-8,4.75,26.8,0.015,-8.49,-8.93,0,0.189,1.23,0.994,6.14,7.77,203,345,2454941.212,495,0.727,1.46
2002 MN,2070,2109,13,6.1e-6,10.37,23.3,0.073,-4.59,-5.04,0,0.499,1.81,0.909,1.05,85.3,132,261,2460444.85,893,0.403,2.72
2012 EK5,2070,2111,14,3.7e-5,15.13,25.5,0.026,-4.77,-5.03,0,0.558,1.82,0.805,9.96,4.5,240,340,2456051.305,899,0.4,2.84
2011 MX,2070,2113,21,3.2e-5,12.19,26.9,0.014,-5.51,-6,0,0.398,1.43,0.862,13.5,268,297,30.6,2455684.423,625,0.576,2
2013 GA55,2070,2114,23,3.9e-5,9.34,27.7,0.01,-6.04,-6.21,0,0.455,1.65,0.897,0.478,207,299,358,2460204.416,771,0.467,2.39
2015 TC25,2070,2115,13,1.3e-4,3.52,29.5,0.004,-6.45,-6.49,0,0.116,1.03,0.909,3.74,18.9,80.6,145,2460046.666,381,0.945,1.15
2014 OP2,2071,2079,3,1.7e-6,11.63,29.1,0.005,-7.8,-7.92,0,0.619,2.45,0.934,2.05,122,142,143,2459643.022,1400,0.257,3.97
2013 VW13,2071,2084,9,4.4e-4,16.35,26.2,0.019,-3.92,-4.09,0,0.574,1.67,0.712,3.53,228,102,220,2460507.012,789,0.456,2.63
2010 JH110,2071,2092,3,5.6e-5,8.08,26.3,0.019,-5.17,-5.37,0,0.567,2.33,1.01,0.743,72.5,165,262,2460555.299,1300,0.277,3.66
2007 UN12,2071,2111,32,2.9e-4,1.57,28.7,0.006,-5.8,-6.57,0,0.0586,1.05,0.988,0.235,214,138,288,2460279.442,393,0.917,1.11
2014 UY57,2071,2111,2,1.2e-7,9.03,27.2,0.012,-8.2,-8.32,0,0.582,2.35,0.984,0.221,59.4,304,6.65,2456933.114,1320,0.273,3.72
2004 PU42,2071,2114,25,8.3e-5,10.11,26.8,0.015,-5.13,-5.7,0,0.444,1.57,0.876,0.991,147,233,215,2460492.1,722,0.499,2.27
2016 VB1,2071,2115,73,0.0012,5.45,28.6,0.006,-5.02,-5.48,0,0.319,0.755,0.514,1.22,41.1,176,352,2460205.72,240,1.5,0.996
2013 QM48,2071,2115,17,4e-6,7.47,27.4,0.011,-6.93,-7.5,0,0.222,1.15,0.895,7.42,331,291,104,2460071.058,450,0.8,1.4
2016 LE10,2072,2072,2,3.3e-8,12.63,27.1,0.013,-8.51,-8.76,0,0.619,2.42,0.923,3.24,257,42.3,326,2460329.868,1380,0.262,3.92
2016 FA14,2072,2077,2,1.5e-6,15.24,27.4,0.011,-6.92,-6.93,0,0.586,1.8,0.747,4.27,190,286,48.2,2460082.153,884,0.407,2.86
2010 TD,2072,2091,5,2.7e-6,18.86,26.9,0.014,-6.34,-6.75,0,0.677,2.18,0.704,3.23,188,100,15.8,2455421.091,1170,0.307,3.65
2016 AF2,2072,2093,3,3.1e-7,5.87,27.8,0.009,-8.09,-8.1,0,0.215,0.884,0.694,0.559,45.1,277,210,2460327.282,303,1.19,1.07
2008 BC15,2072,2094,2,8.7e-7,20.64,26.6,0.016,-6.73,-6.89,0,0.714,2.21,0.632,3.53,310,263,347,2454541.383,1200,0.3,3.79
2008 EZ84,2072,2114,10,2.2e-4,7.91,26.2,0.02,-4.39,-4.68,0,0.151,1.01,0.858,13.1,169,268,170,2460025.216,371,0.97,1.16
2004 VM24,2072,2114,20,1.5e-5,12.86,25.7,0.025,-5.26,-5.72,0,0.429,1.14,0.65,2.92,231,277,125,2460046.377,444,0.81,1.63
2014 TL,2072,2114,6,9.1e-6,10.72,27.8,0.009,-6.66,-6.82,0,0.339,1.13,0.749,3.24,188,90.7,202,2460394.354,440,0.817,1.52
2016 WT,2072,2115,36,2.3e-5,10.71,29.7,0.004,-7.2,-8.08,0,0.447,1.55,0.86,1.19,55.8,304,207,2460501.819,708,0.508,2.25
1997 UA11,2073,2073,1,4.4e-7,11.96,25.1,0.032,-6.48,-6.48,0,0.619,2.36,0.902,3.29,213,138,9.54,2450717.311,1330,0.271,3.83
2015 FF36,2073,2073,1,1.2e-6,8.54,26.5,0.017,-6.82,-6.82,0,0.539,2.1,0.969,0.293,266,306,280,2460446.326,1110,0.324,3.23
2010 LV108,2073,2073,1,6e-10,9.06,22.3,0.12,-8.09,-8.09,0,0.636,2.78,1.01,5.41,249,351,315,2460412.302,1690,0.213,4.54
2016 SK2,2073,2081,4,2.1e-6,13.64,25.3,0.029,-5.88,-5.91,0,0.393,1.36,0.825,15.5,355,291,176,2459917.868,580,0.621,1.9
2006 JY26,2073,2110,48,0.0097,2.98,28.4,0.007,-3.93,-3.93,0,0.0831,1.01,0.926,1.44,43.5,274,312,2460249.52,371,0.971,1.09
2007 EO88,2073,2111,8,8.9e-6,10.95,26.4,0.018,-5.97,-6.49,0,0.337,1.13,0.751,5.93,356,270,200,2460396.185,440,0.817,1.52
2009 SH1,2073,2113,24,7e-8,5.57,29.9,0.004,-9.91,-10.4,0,0.245,1.2,0.904,3.3,355,295,41.8,2455036.989,478,0.753,1.49
2013 RS43,2073,2114,27,1.3e-5,5.69,27,0.013,-6.26,-7.04,0,0.334,1.46,0.971,0.935,359,24.5,229,2460434.281,644,0.559,1.95
2009 FP32,2073,2115,18,6.9e-6,15.06,27.8,0.01,-6.57,-7.2,0,0.593,1.95,0.793,0.872,18.1,236,344,2454964.862,995,0.362,3.11
2010 VQ139,2074,2078,2,3.4e-10,8.03,26.4,0.018,-10.32,-10.5,0,0.398,1.73,1.04,2.76,231,179,0.865,2455512.498,833,0.432,2.42
2010 JH80,2074,2082,2,3.2e-6,26.9,24.5,0.042,-4.98,-4.99,0,0.779,2.09,0.462,21.7,228,253,17.5,2455275.937,1100,0.327,3.71
2014 GY44,2074,2083,3,3.4e-6,12.32,25.4,0.028,-5.75,-5.9,0,0.391,1.19,0.724,10.2,189,272,152,2460000.946,473,0.76,1.65
2007 TL16,2074,2092,10,9.1e-6,11.43,26.2,0.019,-5.8,-5.91,0,0.399,1.46,0.877,10.5,12.9,304,36.6,2460135.072,644,0.559,2.04
2012 VV76,2074,2094,2,4.8e-8,14.69,25.6,0.026,-7.69,-7.76,0,0.665,2.55,0.856,1.06,53.6,309,9.65,2456210.557,1490,0.242,4.25
2012 BN123,2074,2110,4,3.2e-9,10.13,23.2,0.078,-7.82,-8.13,0,0.571,2.54,1.09,8.93,104,351,7.4,2455928.026,1480,0.243,4
2006 HE2,2074,2111,4,8.3e-7,5.02,26.5,0.017,-7.16,-7.4,0,0.157,1.06,0.898,1.18,200,90.8,237,2460337.657,401,0.897,1.23
2008 ST7,2074,2112,24,2.6e-5,9.98,24.1,0.052,-4.42,-4.77,0,0.513,1.94,0.942,2.45,348,322,218,2460588.577,983,0.366,2.93
2000 SB45,2074,2113,98,1.5e-4,7.53,24.3,0.046,-3.8,-4.3,0,0.398,1.56,0.941,3.67,196,216,341,2451853.739,714,0.504,2.19
2016 TY55,2074,2114,16,1.9e-5,4.61,26.9,0.014,-5.99,-6.23,0,0.153,1.03,0.873,4.21,207,264,145,2460046.801,382,0.941,1.19
2014 MB6,2075,2075,1,1.4e-8,13.07,26.2,0.019,-8.49,-8.49,0,0.649,2.83,0.992,1.28,107,134,344,2460276.32,1740,0.207,4.66
2009 EW,2075,2081,4,1.8e-6,12.83,26.4,0.018,-6.48,-6.68,0,0.389,1.26,0.768,10.7,346,258,68.9,2460101.911,515,0.699,1.75
2014 WA201,2075,2084,8,1.3e-4,11.57,26.8,0.015,-4.85,-4.85,0,0.423,1.42,0.821,5.34,53.4,295,101,2460027.453,619,0.581,2.02
2015 UH52,2075,2101,3,1.1e-6,11.19,26,0.022,-6.59,-6.85,0,0.385,0.853,0.524,4.74,26.5,226,107,2460115.108,288,1.25,1.18
2003 YS70,2075,2107,2,7.7e-6,3.16,28.8,0.006,-7.44,-7.48,0,0.234,1.28,0.982,0.356,271,197,170,2459949.756,530,0.679,1.58
2000 LG6,2075,2115,52,9.9e-4,2.11,29,0.005,-5.37,-5.86,0,0.111,0.917,0.816,2.83,72.5,8.16,353,2460206.574,321,1.12,1.02
2014 QF33,2076,2076,1,3.4e-8,23.29,23.7,0.06,-6.63,-6.63,0,0.702,1.17,0.348,3.78,325,233,113,2460056.298,461,0.781,1.99
2014 FX32,2076,2108,3,3.1e-6,9.05,25.1,0.033,-5.71,-5.71,0,0.481,1.78,0.925,3.78,172,321,9.45,2460177.658,870,0.414,2.64
2016 RR1,2076,2113,27,2e-4,6.75,27.8,0.009,-5.42,-5.64,0,0.399,1.67,1,5.33,341,346,102,2459978.751,785,0.458,2.33
2004 VZ14,2076,2114,4,2.1e-6,15.26,25.3,0.03,-5.92,-6.39,0,0.526,1.53,0.727,4.58,41.4,281,360,2460200.934,694,0.519,2.34
2015 ET,2076,2114,9,2.6e-6,11.63,26.7,0.016,-6.58,-7.22,0,0.579,2.03,0.857,0.597,354,124,349,2460234.279,1060,0.34,3.21
2016 WG,2076,2115,22,5.5e-6,23.6,23.3,0.074,-4.25,-4.91,0,0.741,1.83,0.474,0.216,293,233,250,2460476.326,905,0.398,3.19
2012 YR1,2077,2077,1,5.6e-7,7.84,26.5,0.017,-7.2,-7.2,0,0.528,2.05,0.966,2.5,81.2,342,244,2460545.95,1070,0.336,3.13
2007 VF189,2077,2077,1,3.5e-8,11.47,28.4,0.007,-9.17,-9.17,0,0.385,1.21,0.742,6.98,51.8,83.6,295,2460288.505,484,0.743,1.67
2012 RU16,2077,2089,2,1.1e-7,8.66,25.6,0.026,-7.48,-7.64,0,0.613,2.49,0.963,0.404,311,357,10.5,2456149.876,1430,0.251,4.01
2008 HJ,2077,2114,22,2.3e-4,7.53,25.7,0.024,-4.35,-4.81,0,0.407,1.63,0.969,0.925,47.5,204,121,2459944.045,762,0.473,2.3
2016 TH,2077,2115,30,2.2e-5,7.4,29.4,0.004,-7.09,-7.76,0,0.259,1.04,0.768,2.33,191,276,137,2460053.637,386,0.932,1.31
2008 UA92,2078,2078,1,1.3e-6,8.38,27.3,0.012,-7.21,-7.21,0,0.605,2.6,1.03,3.05,39.5,352,1,2454764.223,1530,0.235,4.18
2012 CQ46,2078,2103,4,1.5e-9,13.01,27.2,0.012,-10.04,-10.4,0,0.437,1.2,0.677,0.62,16.3,28.4,48.7,2455906.156,483,0.746,1.73
2006 UJ185,2078,2105,3,1.2e-6,15.46,27.9,0.009,-7.47,-7.48,0,0.578,1.69,0.713,0.862,35,78.9,217,2460519.842,803,0.448,2.67
2013 CY,2078,2106,5,2.5e-6,2.42,28.2,0.008,-7.57,-7.92,0,0.134,1.11,0.965,0.78,303,150,40.2,2460152.511,429,0.838,1.26
2014 QN266,2078,2109,3,2.1e-6,2.85,26.2,0.019,-6.6,-6.66,0,0.0923,1.05,0.955,0.489,171,61.6,226,2460346.927,394,0.913,1.15
2007 XB23,2078,2114,9,6.6e-7,4.58,27.1,0.013,-7.52,-7.8,0,0.0543,1.04,0.985,8.53,260,193,285,2460281.147,388,0.928,1.1
2014 QC391,2078,2115,37,5.9e-5,7.61,27.5,0.011,-5.77,-6.14,0,0.402,1.58,0.945,2.09,345,36.7,342,2456938.059,726,0.496,2.22
2006 QN111,2079,2079,1,2.1e-6,10.55,23.8,0.06,-5.24,-5.24,0,0.598,2.49,1,11.7,144,172,4.57,2453959.309,1430,0.251,3.98
2010 UR7,2079,2086,3,2e-6,13.34,27.4,0.011,-6.94,-7.08,0,0.619,2.29,0.87,3.62,217,130,269,2460520.483,1260,0.285,3.7
2008 CM74,2079,2100,6,2.4e-6,4.07,28,0.008,-7.49,-7.95,0,0.147,1.09,0.929,0.854,321,243,209,2460374.44,415,0.867,1.25
2014 JU15,2079,2114,71,5.4e-5,10.34,24.7,0.039,-4.35,-5.07,0,0.466,0.726,0.387,9.1,38.6,20.3,186,2460309.673,226,1.59,1.06
2009 TM8,2079,2114,136,7.7e-5,7.96,28.6,0.007,-6.18,-7.39,0,0.406,1.55,0.922,2.47,205,221,40.1,2460121.822,706,0.51,2.18
2007 US51,2079,2114,8,6.7e-6,15.29,27.2,0.012,-6.34,-6.66,0,0.633,2.19,0.806,1.47,39.4,298,13.1,2454364.458,1190,0.303,3.58
2001 SD286,2080,2080,1,5.2e-8,12.56,25.2,0.03,-7.49,-7.49,0,0.566,2.08,0.905,6.24,183,130,12.8,2452140.312,1100,0.328,3.26
2002 AN129,2080,2080,1,2e-8,11.35,26.1,0.021,-8.34,-8.34,0,0.525,1.82,0.864,0.288,94,74.4,344,2452328.604,896,0.402,2.77
2008 GF1,2080,2080,1,9.7e-8,14.61,28.3,0.007,-8.61,-8.61,0,0.463,1.21,0.65,1.55,16.6,277,315,2454622.881,487,0.739,1.77
2015 PS228,2080,2102,3,2.9e-6,2.55,28.9,0.005,-7.81,-7.87,0,0.084,1.06,0.968,0.439,273,328,229,2460344.723,397,0.907,1.15
2014 EU,2080,2107,5,7.7e-6,5.64,27.7,0.01,-6.72,-6.77,0,0.28,1.29,0.93,0.331,187,289,200,2460438.41,537,0.671,1.65
2009 OW6,2080,2115,2,4.9e-6,6.65,25.3,0.029,-5.81,-6.01,0,0.482,1.95,1.01,0.118,96.2,229,54.9,2460048.411,998,0.361,2.9
2015 WP2,2080,2115,24,1e-4,12.62,30.1,0.003,-6.56,-6.98,0,0.457,1.44,0.779,1.71,58,288,225,2460436.528,628,0.573,2.09
2015 MN11,2081,2081,1,2.2e-9,21.06,24.5,0.042,-8.27,-8.27,0,0.705,2.04,0.601,5.71,279,85.3,342,2457246.414,1070,0.338,3.48
2012 WR10,2081,2096,3,7.7e-7,2.73,28.5,0.007,-8.21,-8.4,0,0.112,1.09,0.964,0.308,224,147,240,2460337.75,413,0.872,1.21
