object_name,period_start,period_end,possible_impacts,cumulative_impact_probability,asteroid_velocity,asteroid_magnitude,asteroid_diameter_km,cumulative_palermo_scale,maximum_palermo_scale,maximum_torino_scale,eccentricity,semi_major_axis,perihelion_distance,inclination_angle_with_respect_to_x_y_ecliptic_plane,longitude_of_the_ascending_node,argument_of_perihelion,mean_anomaly,time_of_perihelion_passage,sidereal_orbital_period,mean_motion,aphelion_distance
2008 CT1,2030,2115,163,5e-5,13.67,27.6,0.01,-5.62,-6.08,0,0.456,0.891,0.484,0.371,138,126,280,2454568.456,307,1.17,1.3
2016 VF18,2031,2082,7,7.7e-6,10.09,29.8,0.004,-7.53,-7.57,0,0.681,2.78,0.886,0.765,230,136,6.44,2457673.256,1690,0.213,4.67
2008 WJ14,2031,2087,7,4e-9,10.58,26.6,0.017,-8.94,-9.4,0,0.725,3.8,1.05,11,237,179,0.276,2454789.43,2700,0.133,6.55
2006 DM63,2031,2088,22,1.2e-4,10.37,26.7,0.015,-4.39,-4.67,0,0.497,0.696,0.35,1.78,336,17.4,140,2453711.912,212,1.7,1.04
2005 TH50,2031,2101,25,2.7e-5,4.88,28,0.009,-6.04,-6.4,0,0.226,0.837,0.648,0.734,197,18.1,155,2453535.053,280,1.29,1.03
2012 VJ38,2031,2110,16,1.1e-4,4.45,28.5,0.007,-5.95,-6.03,0,0.286,1.36,0.97,0.386,52.5,24.4,288,2460316.776,578,0.622,1.75
2011 BP40,2031,2111,21,1.7e-7,3.39,25.4,0.028,-7.03,-7.57,0,0.154,1.12,0.95,0.914,165,236,74.8,2455503.189,435,0.828,1.3
2011 ES4,2031,2112,48,2.9e-5,7.75,25.7,0.025,-5.01,-5.39,0,0.243,1.1,0.829,3.37,340,275,287,2460285.124,419,0.859,1.36
2007 UO6,2031,2113,11,2.3e-5,11.68,27.3,0.011,-5.39,-5.65,0,0.6,2.27,0.911,2.39,23.6,320,9.76,2454361.526,1250,0.287,3.64
2009 WR52,2031,2113,51,1.1e-4,5.42,28.3,0.007,-5.75,-6.03,0,0.155,1.03,0.873,4.24,61,270,121,2460071.232,384,0.938,1.19
